Id,Deleted,CreatedBy_FK,Created,ModifiedBy_FK,Modified,IsSupplier,IsCustomer,Locked,Archived,PrintReport_FK,ApproveUntil,Approved,ApprovedBy_FK,Name,Description,Type_FK,Parent_FK,DefaultLanguage_FK,BillingAddressStreet,BillingAddressCity,BillingAddressState_FK,BillingAddressPostalCode,BillingAddressCountry_FK,ShippingAddressStreet,ShippingAddressCity,ShippingAddressState_FK,ShippingAddressPostalCode,ShippingAddressCountry_FK,EmailInvoicing,Email1,Website,Skype,Phone,Mobile,Fax,Currency_FK,CreditRating_FK,IgnoreISIR,PaymentMethod_FK,RegNumber,VATNumber,SendMailEnabled,CallEnabled,SendNoticeOfLatePayment,FirstName,MiddleName,LastName,Title,Suffix,JobTitle,Department,ReportsTo_FK,Office,Profession,Anniversary,Birthday,Gender_FK,Salutation_FK,SalutationText,IsDefault,Industry_FK,AnnualRevenue_FK,AnnualRevenueBaseCurrency_FK,Ownership,Employees_FK,SicCode,PersonalDataAgreement,BusinessFocus_FK,Inactive,LeadSource,QueueOrder,PersonalIdentificationNumber,CaptionSort,ProductSellingPrice_FK,InvoiceDueDays,ConcatenatedDddress,Status_FK,DataboxId,EstabDate,TurnoverLowerBound,TurnoverUpperBound,BusinessEntry,IsVatpayer,VatRegistrationType,IsUnreliableVatpayer,UnreliableVatpayerSince,VzpDebt,BillingAddressGps,OwningType,LegalForm,StatusForm,Profit,Ebidta,BankAccountsBalance,BusinessPremisesCount,ActiveLicensesCount,TitleType_FK,SuffixType_FK,RegNumber_SK,GdprLegalReasonEndDate,c_AdjusterUserID,c_PreferredContactMethod,c_InvolvedId,MainProjection_FK,c_BulkEmails,c_NAVNumber,c_BDM,c_Region,c_Industry,c_NAVContactNumber,c_Buyer,c_BuyerInceptionDate,c_BuyerLatestDate,c_SBU,Image_FK,CaptionDisplay,TaxNumber,AresSyncEnabled,MasterParent_FK,SendContactEmailWishBirthday,SendContactEmailWishAnniversary,BusinessUnit_FK,BillingAddressRuian,ShippingAddressRuian,ShippingAddressGps,c_SourceTable,c_SourceTableId,c_SBU_enum_FK,c_Industry_Enum_FK,c_Region_Enum_FK,c_isEmployee,c_isEngineer,c_EmployeeNumber,c_NavAddressStreet,c_NavAddressStreet2,c_NavAddressCity,c_NavAddressState_FK,c_NavAddressZip,c_NavAddressCountry_FK,Ext_ID,Ext_Source,c_EmployeeNumberString,c_NAVEmployeeNumber,c_NavPhoneNumber,c_NavFaxNumber,c_NavEmail,c_NavEmail2,c_BillingAddressStreet2,c_NavAddressState,c_AlternateName,MainRecordAfterMerge_ID,c_ShippingAddressStreet2,CreditCheckMainStatus_FK,Signature_FK,c_MergedIDs,c_hasRecentActivity,
591,0,0,45:03.0,0,02:59.0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,BLAND & PARTNERS,NULL,NULL,NULL,NULL,909 Poydras St Ste 1860,New Orleans,1177,70112,NULL,NULL,NULL,1177,NULL,NULL,NULL,NULL,http://www.blandpartners.com,NULL,NULL,NULL,504-586-3419,NULL,NULL,0,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,BLAND & PARTNERS,NULL,NULL,"909 Poydras St Ste 1860,New Orleans,Louisiana",96197,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88,NULL,38054,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BLAND & PARTNERS,NULL,0,NULL,0,0,1,NULL,NULL,NULL,JimsCRMcustomer,22,NULL,NULL,NULL,0,0,NULL,909 POYDRAS ST STE 1860,,NEW ORLEANS,NULL,70112,NULL,NULL,NULL,NULL,NULL,,,,NULL,,LA,NULL,591,,NULL,NULL,NULL,0,
1501,0,0,36:33.0,0,51:57.0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,COLLINS & COMPANY,NULL,NULL,NULL,NULL,555 River St,Chattanooga,1221,37405,NULL,NULL,NULL,1221,NULL,NULL,NULL,NULL,http://www.collinsandco.com,NULL,NULL,NULL,423-265-0545,NULL,NULL,0,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,COLLINS & COMPANY,NULL,NULL,"555 River St,Chattanooga,Tennessee",96197,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88,NULL,17171,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,COLLINS & COMPANY,NULL,0,NULL,0,0,1,NULL,NULL,NULL,JimsCRMcustomer,932,NULL,NULL,NULL,0,0,NULL,555 RIVER ST,,CHATTANOOGA,NULL,37405,NULL,NULL,NULL,NULL,NULL,,,,,,TN,NULL,1501,,NULL,NULL,NULL,0,
1617,0,0,04:15.0,0,43:30.0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,SILVER BULLET CONSTRUCTION,NULL,NULL,NULL,NULL,4401 Little Rd Ste 550-275,Arlington,1222,76016,NULL,4401 Little Rd Ste 550-275,Arlington,1222,76016,NULL,NULL,NULL,www.silverbulletconstruction.com,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,SILVER BULLET CONSTRUCTION,NULL,NULL,"4401 Little Rd Ste 550-275,Arlington,Texas",96197,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88,NULL,39021,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SILVER BULLET CONSTRUCTION,NULL,0,NULL,0,0,1,NULL,NULL,NULL,JimsCRMcustomer,1048,NULL,NULL,NULL,0,0,NULL,4401 LITTLE RD STE 550-275,,ARLINGTON,NULL,76016,NULL,NULL,NULL,NULL,NULL,,,,NULL,,TX,NULL,1617,,NULL,NULL,NULL,0,
1676,0,0,35:06.0,0,59:40.0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,GONZALEZ & ASSOCIATES PA,NULL,NULL,NULL,NULL,3600 Red Rd Ste 603,Miramar,1159,33025,NULL,NULL,NULL,1159,NULL,NULL,NULL,NULL,http://gonzalezlegal.com,NULL,NULL,NULL,954-538-1305,NULL,NULL,0,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,GONZALEZ & ASSOCIATES PA,NULL,NULL,"3600 Red Rd Ste 603,Miramar,Florida",96197,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88,NULL,38017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,GONZALEZ & ASSOCIATES PA,NULL,0,NULL,0,0,1,NULL,NULL,NULL,JimsCRMcustomer,1107,NULL,NULL,NULL,0,0,NULL,3600 RED RD STE 603,,MIRAMAR,NULL,,NULL,NULL,NULL,NULL,NULL,,,,NULL,,FL,NULL,1676,,NULL,NULL,NULL,0,
2077,0,0,48:00.0,0,47:50.0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,LAW OFFICE OF JOSEPH JACOBSON,NULL,NULL,NULL,NULL,PO Box 671005,Dallas,1222,75367,NULL,NULL,NULL,1222,NULL,NULL,NULL,NULL,http://,NULL,NULL,NULL,214-853-4115,NULL,NULL,0,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,LAW OFFICE OF JOSEPH JACOBSON,NULL,NULL,"PO Box 671005,Dallas,Texas",96197,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88,NULL,20889,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,LAW OFFICE OF JOSEPH JACOBSON,NULL,0,NULL,0,0,1,NULL,NULL,NULL,JimsCRMcustomer,1508,NULL,NULL,NULL,0,0,NULL,,,,NULL,75019,NULL,NULL,NULL,NULL,NULL,,,,,,TX,NULL,2077,,NULL,NULL,NULL,0,
3086,0,0,36:07.0,0,25:31.0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,KELLY SUTTER & KENDRICK PC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,KELLY SUTTER & KENDRICK PC,NULL,NULL,,96197,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88,NULL,37478,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KELLY SUTTER & KENDRICK PC,NULL,0,NULL,0,0,1,NULL,NULL,NULL,JimsCRMcustomer,2517,NULL,NULL,NULL,0,0,NULL,3050 POST OAK BLVD STE 200,,HOUSTON,NULL,77056,NULL,NULL,Haag$Customer,NULL,NULL,,,,NULL,,TX,NULL,NULL,,NULL,NULL,NULL,0,
3630,0,0,26:37.0,0,00:12.0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,PERKINS THOMPSON,NULL,NULL,NULL,NULL,"PO Box 426
One Canal Plaza",Portland,1180,4112,NULL,NULL,NULL,1180,NULL,NULL,NULL,NULL,http://,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,PERKINS THOMPSON,NULL,NULL,"PO Box 426
One Canal Plaza,Portland,Maine",96197,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88,NULL,37587,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PERKINS THOMPSON,NULL,0,NULL,0,0,1,NULL,NULL,NULL,JimsCRMcustomer,3061,NULL,NULL,NULL,0,0,NULL,PO BOX 426,ONE CANAL PLAZA,PORTLAND,NULL,04112-0426,NULL,NULL,NULL,NULL,NULL,207-774-2635,207-871-8026,,NULL,,ME,NULL,3630,,NULL,NULL,NULL,0,
3785,0,0,36:32.0,0,48:20.0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,TUMMEL & CASSO,NULL,NULL,NULL,NULL,4430 S McColl Rd,Edinburg,1222,78539,NULL,NULL,NULL,1222,NULL,NULL,NULL,NULL,http://www.tummelcasso.com,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,TUMMEL & CASSO,NULL,NULL,"4430 S McColl Rd,Edinburg,Texas",96197,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88,NULL,38056,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TUMMEL & CASSO,NULL,0,NULL,0,0,1,NULL,NULL,NULL,JimsCRMcustomer,3216,NULL,NULL,NULL,0,0,NULL,4430 S MCCOLL RD,,EDINBURG,NULL,78539,NULL,NULL,NULL,NULL,NULL,,,,NULL,,TX,NULL,3785,,NULL,NULL,NULL,0,
3794,0,0,35:00.0,0,07:20.0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,SEALE SMITH ZUBER & BARNETTE,NULL,NULL,NULL,NULL,"8550 United Plaza Blvd
Two United Plaza Ste 200",Baton Rouge,1177,70809,NULL,NULL,NULL,1177,NULL,NULL,NULL,NULL,http://www.sszblaw.com,NULL,(225) 924-1600,NULL,(225) 924-6100,NULL,NULL,0,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,SEALE SMITH ZUBER & BARNETTE,NULL,NULL,"8550 United Plaza Blvd
Two United Plaza Ste 200,Baton Rouge,Louisiana",96197,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88,NULL,34375,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SEALE SMITH ZUBER & BARNETTE,NULL,0,NULL,0,0,1,NULL,NULL,NULL,JimsCRMcustomer,3225,NULL,NULL,NULL,0,0,NULL,8550 UNITED PLAZA BLVD,2 UNITED PLAZA STE 200,BATON ROUGE,NULL,70809,NULL,NULL,NULL,NULL,NULL,,,,NULL,,LA,NULL,3794,,NULL,NULL,NULL,0,
4245,0,0,57:52.0,0,52:53.0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,GALLINI LAW PLLC,NULL,NULL,NULL,NULL,"990 N Walnut Creek Dr Ste 1003
Chase Bank Bldg",Mansfield,1222,76063,NULL,"990 N Walnut Creek Dr Ste 1003
Chase Bank Bldg",Mansfield,1222,76063,NULL,NULL,NULL,www.gallinilaw.com,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,GALLINI LAW PLLC,NULL,NULL,"990 N Walnut Creek Dr Ste 1003
Chase Bank Bldg,Mansfield,Texas",96197,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88,NULL,38819,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,GALLINI LAW PLLC,NULL,0,NULL,0,0,1,NULL,NULL,NULL,JimsCRMcustomer,3676,NULL,NULL,NULL,0,0,NULL,990 W WALNUT CREEK DR STE 1003,CHASE BANK BLDG STE 1003,MANSFIELD,NULL,76063,NULL,NULL,NULL,NULL,NULL,,,,NULL,,TX,NULL,4245,,NULL,NULL,NULL,0,
